,Mean,Variance
headset_vel.x,-0.00017547137731171994,7.041795951819152e-06
headset_vel.y,-0.00010642608649056318,2.3577632338523414e-07
headset_vel.z,-1.0498123313546418e-05,9.364133105234099e-06
headset_angularVel.x,-7.461237686453576e-05,0.00018710123211717274
headset_angularVel.y,-0.0010038421731202436,0.0003099552197655366
headset_angularVel.z,-0.0001825180472191782,0.00038629659071562545
headset_pos.x,-0.3317871508371385,5.968358172592061e-07
headset_pos.y,-0.4122025182648402,1.1528028141496772e-08
headset_pos.z,-0.40714358340943685,7.762434074529928e-07
headset_rot.x,276.7792681887367,0.0327748287578426
headset_rot.y,37.52747343987823,7.258737345115284
headset_rot.z,8.2722771847793,7.466685593149331
controller_left_vel.x,2.0834182812785388e-05,2.9602446643672595e-08
controller_left_vel.y,1.894908276681887e-05,6.664578809713644e-08
controller_left_vel.z,-5.9764842653120235e-06,2.8327972734839003e-09
controller_left_angularVel.x,-8.234935893455098e-05,2.5302408480875494e-05
controller_left_angularVel.y,-0.0007784681590715373,0.00012009005467306153
controller_left_angularVel.z,0.00013203307459665143,3.017352228933524e-05
controller_left_pos.x,0.9020118617960425,1.5529936449401107e-09
controller_left_pos.y,-0.5348255929984779,1.2445850503009482e-12
controller_left_pos.z,0.5048244920852359,1.0882085653097978e-09
controller_left_rot.x,26.124638447488582,0.0031120513146592004
controller_left_rot.y,15.429094368340944,0.003650042247504367
controller_left_rot.z,299.63186423135465,0.018471050715605272
controller_right_vel.x,2.382080529984779e-05,2.5820954284524313e-07
controller_right_vel.y,-0.00011894111151293761,3.1842664704156093e-07
controller_right_vel.z,0.0001219292605754338,1.1600023803240903e-07
controller_right_angularVel.x,0.0004341303565601218,0.0008704995758618635
controller_right_angularVel.y,0.00017977239409741253,9.67963793102821e-05
controller_right_angularVel.z,-0.0032095751062709284,0.00012004984100908681
controller_right_pos.x,0.8091822788432268,4.4149795109887966e-10
controller_right_pos.y,0.548762301674277,5.785818417046817e-10
controller_right_pos.z,0.24604672343987824,2.7255191924675023e-10
controller_right_rot.x,53.93812529680366,0.00248601112007183
controller_right_rot.y,120.00992313546422,0.004819564098080733
controller_right_rot.z,3.2310320456621007,0.01712458159390035
