,Mean,Variance
headset_vel.x,-0.0005234983220207006,3.902206877476701e-06
headset_vel.y,-3.7797362270955426e-05,3.723183547900228e-07
headset_vel.z,-0.0006881057930828025,3.7801895697567824e-06
headset_angularVel.x,0.0036678188426592356,9.764932137950465e-05
headset_angularVel.y,-0.005245237512149681,0.00022613931724920476
headset_angularVel.z,-0.004077244588009554,0.00017787432265245872
headset_pos.x,-0.32916813550955415,2.8168826167753394e-06
headset_pos.y,-0.41240928964968154,9.374289850514075e-08
headset_pos.z,-0.405484972611465,2.150206740875465e-06
headset_rot.x,277.88959251592354,0.9009889513474094
headset_rot.y,39.87711385350318,1.8028870029854458
headset_rot.z,5.770943152866241,2.250322176154771
controller_left_vel.x,1.587254440971338e-05,1.983716255000675e-08
controller_left_vel.y,6.159198359872612e-06,3.859334696655936e-08
controller_left_vel.z,-4.9556414909235674e-06,1.8552561927426363e-09
controller_left_angularVel.x,-0.00020314958742675157,1.0405682547157878e-05
controller_left_angularVel.y,-0.00028679413286624203,4.557910466711187e-05
controller_left_angularVel.z,1.9308389968152796e-06,1.0868371861327355e-05
controller_left_pos.x,0.9018912933121018,2.949683124574548e-10
controller_left_pos.y,-0.5348214093949045,3.551474593400236e-12
controller_left_pos.z,0.504913449522293,5.959274299312193e-11
controller_left_rot.x,26.271087022292996,0.00015541863976345873
controller_left_rot.y,15.663365222929938,0.0052449461012261354
controller_left_rot.z,300.0557598726115,0.004193478769999644
controller_right_vel.x,-2.740678037738854e-05,3.7449768454984237e-07
controller_right_vel.y,-0.00017142479492659237,4.781693020300885e-07
controller_right_vel.z,0.00013048264048458598,1.255944237019037e-07
controller_right_angularVel.x,-0.00020574286128503214,0.0006813571260199636
controller_right_angularVel.y,-0.0008735358819315285,0.00017673103983724303
controller_right_angularVel.z,-0.003995308929375796,0.0001651004466474324
controller_right_pos.x,0.809158073089172,3.8269996045772226e-10
controller_right_pos.y,0.5487776082802548,5.289723715194206e-10
controller_right_pos.z,0.24606122675159234,2.288686930992882e-10
controller_right_rot.x,53.86857574840764,0.007028134174399108
controller_right_rot.y,120.07565159235669,0.0030642932191509375
controller_right_rot.z,3.2675027468152864,0.014345166905184597
