,Mean,Variance
headset_vel.x,9.115803701495593e-05,4.901000354595111e-05
headset_vel.y,-0.00019397381310938417,1.1132069544186144e-05
headset_vel.z,0.000285140139655425,9.350792986652078e-05
headset_angularVel.x,-0.0015006295554721408,0.0022029668260825815
headset_angularVel.y,0.0037380684587683287,0.003890903910218399
headset_angularVel.z,0.004548446544442815,0.004622577869920835
headset_pos.x,-0.33024630615835776,2.416639433412824e-06
headset_pos.y,-0.4111206938416422,5.169885394921219e-07
headset_pos.z,-0.4074818961876833,5.911875908972233e-06
headset_rot.x,274.5477740469208,2.663194203804158
headset_rot.y,88.82766421554253,16489.19660731501
headset_rot.z,26.714187829912028,169.40044992936592
controller_left_vel.x,8.140399444545454e-06,2.2881165571531393e-08
controller_left_vel.y,1.5620169252199413e-05,5.324978007699305e-08
controller_left_vel.z,-1.75593027670088e-06,2.1098753134880272e-09
controller_left_angularVel.x,0.00015825780925219943,1.7327306788314888e-05
controller_left_angularVel.y,-0.0007014181698093843,8.716910623146856e-05
controller_left_angularVel.z,0.00021877683028711142,1.897062128595402e-05
controller_left_pos.x,0.9014474007331378,1.1917191330887616e-09
controller_left_pos.y,-0.5348259539589443,1.6315628646873077e-12
controller_left_pos.z,0.5052906755131965,8.409759487083138e-10
controller_left_rot.x,26.90095703812317,0.0022564263236666843
controller_left_rot.y,16.3287823313783,0.0030175371027798964
controller_left_rot.z,301.6104058651027,0.014449263166724749
controller_right_vel.x,-2.3025373394428154e-05,2.454224462810286e-07
controller_right_vel.y,-0.00016230509351510266,2.717371392426851e-07
controller_right_vel.z,0.00012341327929281525,3.524102414549057e-08
controller_right_angularVel.x,-2.0167029222873943e-05,0.00031819221704345164
controller_right_angularVel.y,-0.0007833886972668621,0.00014090647658222274
controller_right_angularVel.z,-0.003800552894032258,7.276057132374199e-05
controller_right_pos.x,0.809104685777126,2.178786801818032e-09
controller_right_pos.y,0.5488758077712611,6.616291465673233e-10
controller_right_pos.z,0.24614173299120234,2.6210761776499235e-10
controller_right_rot.x,53.51753426686218,0.0027056138265542356
controller_right_rot.y,120.32294912023461,0.012748449316405456
controller_right_rot.z,3.5690516275659823,0.020395645438122473
