,Mean,Variance
headset_vel.x,-0.03981924295384304,0.008531556330725151
headset_vel.y,0.006181962339648173,0.45613677125501895
headset_vel.z,-0.03771816795629228,0.008749915782583445
headset_angularVel.x,-0.010388104497834913,0.22741337147687068
headset_angularVel.y,0.016726104007036533,0.03832139949074648
headset_angularVel.z,-0.0028473352225981026,0.6284970153239441
headset_pos.x,0.9899442661705007,0.022046023229144705
headset_pos.y,0.5196362719891746,0.0019007800556078186
headset_pos.z,3.2149097970230036,0.011783366897587473
headset_rot.x,334.6459650504736,6374.872718990813
headset_rot.y,235.52729499323414,5.6384581036740835
headset_rot.z,356.11989811569686,345.9367597216851
controller_left_vel.x,-0.037787296540730715,0.031608865846125045
controller_left_vel.y,0.008923751416102842,0.7506186916457036
controller_left_vel.z,-0.03255894633859134,0.05484617450673593
controller_left_angularVel.x,-0.05775349159404602,1.5499770925862952
controller_left_angularVel.y,0.06323741872395129,0.4819640918510384
controller_left_angularVel.z,-0.039108209891745606,1.9995702684765693
controller_left_pos.x,1.0070465303112313,0.022690713355801924
controller_left_pos.y,0.11965416028687414,0.003941666335629654
controller_left_pos.z,3.073718943166441,0.012805576803243377
controller_left_rot.x,324.93585832051417,6621.885672644301
controller_left_rot.y,212.19494966170498,17.132507690172652
controller_left_rot.z,55.629680415399186,15327.336233066022
controller_right_vel.x,-0.02949697249228687,0.10496214980539584
controller_right_vel.y,-1.1442998646826996e-05,0.6542437775491856
controller_right_vel.z,-0.033493239824086606,0.06045472937705551
controller_right_angularVel.x,0.016050780611637356,1.699638361386528
controller_right_angularVel.y,0.116789836594046,1.464338041281178
controller_right_angularVel.z,0.04966886218673885,2.5632964669939136
controller_right_pos.x,0.8200055769959406,0.024287966417081638
controller_right_pos.y,0.05744686847807849,0.004226598234254748
controller_right_pos.z,3.211638117726658,0.013760142213290999
controller_right_rot.x,136.6435354281867,26909.937979911138
controller_right_rot.y,215.64123207036533,37.83517622743893
controller_right_rot.z,343.97519026807987,997.1642414596314
