,Mean,Variance
headset_vel.x,-0.00012852525771478874,1.1085862211697022e-06
headset_vel.y,-0.00019795685002971833,1.723004894903523e-07
headset_vel.z,-4.671577550422535e-05,1.086244925917448e-06
headset_angularVel.x,3.810539781239439e-05,3.102134433891865e-05
headset_angularVel.y,-0.00010728727188732393,4.5900510543588645e-05
headset_angularVel.z,-0.00014057232327323947,4.8059850340224946e-05
headset_pos.x,-0.3302962433802817,2.0916489398994774e-08
headset_pos.y,-0.41249859915492953,1.5809757432289014e-08
headset_pos.z,-0.4099653007042253,2.0113430873974406e-08
headset_rot.x,276.1598077464789,0.002529379954011708
headset_rot.y,45.989268183098595,0.15782663100473368
headset_rot.z,267.96525526539574,24553.47076893948
controller_left_vel.x,1.4295585649014086e-05,1.5579643458959965e-08
controller_left_vel.y,2.7665360030985916e-06,2.3588829060943295e-08
controller_left_vel.z,-4.605144357887324e-06,1.501818112503861e-09
controller_left_angularVel.x,-0.00024210891098591547,6.852932202514679e-06
controller_left_angularVel.y,-0.00013065360194366196,2.1657252720685798e-05
controller_left_angularVel.z,-5.11873756760563e-05,8.770386326144166e-06
controller_left_pos.x,0.9021459083098592,6.71648250660499e-11
controller_left_pos.y,-0.5348302205633803,1.0327500347656378e-12
controller_left_pos.z,0.5047198215492957,3.180617813224941e-11
controller_left_rot.x,25.957113295774647,0.00010184172593496136
controller_left_rot.y,15.268177042253523,6.458484257931249e-05
controller_left_rot.z,299.18155816901407,0.0005555024084903952
controller_right_vel.x,1.0434733076056336e-05,3.097313007695304e-07
controller_right_vel.y,-0.00012570004692535208,2.3265506146524425e-07
controller_right_vel.z,0.00011779322222295773,2.057586497010241e-08
controller_right_angularVel.x,0.000456051788478873,0.00043855908012504
controller_right_angularVel.y,-0.00010778810501408447,0.00016726316126208606
controller_right_angularVel.z,-0.0032398411206478878,4.783917369915912e-05
controller_right_pos.x,0.8092582640845072,4.344626997954041e-10
controller_right_pos.y,0.5488241101408451,5.623020408827513e-10
controller_right_pos.z,0.24608309253521127,2.391247537893115e-10
controller_right_rot.x,53.9405918169014,0.0008802746058620552
controller_right_rot.y,120.13781732394365,0.005720291561234834
controller_right_rot.z,3.5815612014084506,0.01836866662454471
