,Pos.x,Pos.y,Pos.z
LAY,0.0,0.0,0.0
ROL,0.3085,0.0188,0.8413
SIT,0.0077,0.0101,0.0034
SITtoLAY,0.0004,0.0005,0.0007
STD,0.2845,0.6339,0.226
